PlayerName,PlayerId,Pos,Team,PatMade,PatMissed,FgMade_0-19,FgMade_20-29,FgMade_30-39,FgMade_40-49,FgMade_50,FgMiss_0-19,FgMiss_20-29,FgMiss_30-39,Rank,TotalPoints
Chris Boswell,2550545,K,PIT,35,,,9,12,7,13,,,,1,191.00
Brandon Aubrey,2571750,K,DAL,30,,,4,8,14,14,,,2,2,190.00
Cameron Dicker,2568435,K,LAC,33,3,1,9,9,11,9,,,,3,173.00
Ka'imi Fairbairn,2556521,K,HOU,34,2,,8,11,4,13,,2,,4,165.00
Jason Sanders,2561153,K,MIA,26,2,,7,13,5,12,,,,5,162.47
Wil Lutz,2556601,K,DEN,46,,,2,13,11,5,,,1,6,159.00
Chase McLaughlin,2563203,K,TB,54,2,,11,7,4,8,,,,7,158.00
Jake Bates,2571759,K,DET,64,3,,3,10,7,6,,,,8,155.00
Justin Tucker,2536340,K,BAL,60,2,,4,7,5,6,,,,9,140.00
Matt Gay,2562271,K,IND,33,,,9,12,7,3,,,,10,139.60
Daniel Carlson,2560993,K,LV,23,2,,10,11,6,7,,,,11,139.00
Jake Elliott,2558172,K,PHI,47,1,,9,10,8,1,,,1,12,137.00
Jason Myers,2553112,K,SEA,37,3,,4,6,7,9,,,,13,132.50
Tyler Bass,2563596,K,BUF,59,5,,6,7,7,4,,1,,14,130.50
Will Reichard,2572273,K,MIN,38,,,5,6,5,8,,,1,15,130.00
Blake Grupe,2571234,K,NO,31,2,,4,10,7,6,,,1,16,127.00
Cam Little,2572147,K,JAX,27,,,8,6,8,5,,,,17,126.00
Chad Ryland,2570125,K,ARI,26,1,,6,11,7,4,,,,18,122.00
Joshua Karty,2572201,K,LAR,32,4,,10,9,4,6,,1,1,19,120.00
Younghoe Koo,2559205,K,ATL,26,,,7,5,7,6,,,2,20,118.60
Jake Moody,2570308,K,SF,32,1,,9,5,6,4,,,,21,115.00
Joey Slye,2563132,K,NE,25,1,,5,10,5,6,,1,1,22,114.00
Nick Folk,2507225,K,TEN,25,,,5,2,8,6,,,,23,109.50
Austin Seibert,2562729,K,WAS,22,2,,10,7,8,2,,,,24,109.00
Cairo Santos,2550636,K,CHI,25,1,,4,4,5,8,,,,25,106.00
Brandon McManus,2541556,K,GB,30,,,5,9,3,3,,,,26,102.00
Eddy Pineiro,2560842,K,CAR,33,2,,7,8,6,1,,,1,27,100.00
Harrison Butker,2558245,K,KC,29,2,1,7,7,4,2,,1,,28,92.00
Evan McPherson,2565953,K,CIN,37,1,,6,4,3,3,,,,29,91.00
Dustin Hopkins,2539227,K,CLE,17,3,,3,6,5,4,,1,1,30,72.00
Greg Joseph,2561534,K,NYJ,11,,,5,5,5,1,,,,31,66.00
Brayden Narveson,2573470,K,FA,18,,,4,3,5,,,,1,32,58.00
Matthew Wright,2562968,K,TEN,6,,,3,8,3,1,,,,33,57.50
Anders Carlson,2569750,K,FA,12,3,,3,2,5,3,,,,34,54.00
Graham Gano,71309,K,NYG,15,,,2,1,4,2,,,1,35,50.50
John Parker Romo,2569101,K,NE,7,1,,3,3,4,1,,,,36,43.00
Cade York,2567487,K,CIN,16,1,,5,2,1,1,,,1,37,42.00
Zane Gonzalez,2558178,K,WAS,19,,,,1,4,,,,,38,38.00
Greg Zuerlein,2534797,K,NYJ,13,1,,4,4,1,,,,2,39,36.00
Matt Prater,2506677,K,ARI,10,,,1,1,3,1,,,,40,33.00
Riley Patterson,2567013,K,ATL,16,,,,3,,1,,,,41,30.00
Spencer Shrader,2573175,K,KC,9,,,2,1,2,,,,,42,26.00
Jude McAtamney,2573503,K,NYG,1,,,,1,,,,,,43,4.00
Ramiz Ahmed,2563692,K,FA,,,,,,,,,,,44,0.00
Mike Badgley,2560965,K,DET,,,,,,,,,,,45,0.00
Tanner Brown,2569984,K,FA,,,,,,,,,,,46,0.00
Alex Hale,2573890,K,GB,,,,,,,,,,,47,0.00
Lucas Havrisik,2569534,K,FA,,,,,,,,,,,48,0.00
Brett Maher,2540243,K,FA,,,,,,,,,,,49,0.00
Harrison Mevis,2572932,K,FA,,,,,,,,,,,50,0.00
Jack Podlesny,2571174,K,FA,,,,,,,,,,,51,0.00
Charlie Smyth,2572330,K,NO,,,,,,,,,,,52,0.00
James Turner,2573148,K,FA,,,,,,,,,,,53,0.00
